French,English,Creole
une partie,a part,ene bout
histoire,history,hisoire
chercher,search,roder
seulement,only,selman
police,police,police
tu pensais,you thought,to pensé
aide,help,aide
tu demande,you request,to pe demandé
genre,kind,type
mois,month,mois
frère,brother,frère
laisser,let,laissé
car,because,a cause
mettre,to put,meté
une laisse,a leash,la corde
eux,them,banla
ville,city,ville
chaque,each,sak
j'ai parlé,I spoke, mone causé
arrivé,come,arrivé
Il devrait,He should, mo bizin
bébé,baby,bébé
longtemps,long time,longtemps
ils vont,they will, pou
pendant,while,pendant
On va se revoir,We will meet again,Pou re zwen
aucune,any,oken
une place,square, ene carré
parle,speak,causé
J'ai compris,I understood,mone compren
ils savaient,they knew,ti connai
étaient,were,ti
fais attention,be careful,fair tension
je pourrais,I could,mo capav
affaire,case,case
type,type,type
leurs,their,zot
j'ai donné,given,mon donné
train,train,train
corps,body,lecorps
un endroit,a place,ene l'endroit
les yeux,eyes, lizier
façon,way,manière
écoute,listen,ecoute
perdu,lost,perdi
main,hand,main
première,first,prémier
côté,side,coté
pouvoir,power,capave
vieux,old,vié
tiens,here,tini
matin,morning,gramatin
tellement,so much,tellement
enfant,child,zenfan
point,point,point
venu,came,vini
suite,after,après
pardon,sorry,sorry
venez,come,vini
devant,in front of,dévan
vers,towards,vers
minutes,minutes,minites
demandé,request,demandé
la chambre,the bedroom,la sam
mis,placed,posé
belle,beautiful,zoli
droit,law,droit
j'aimerais,I would like to,mi pou content
aujourd'hui,today,zodi
mari,husband,messier
cause,cause,cause
enfin,finally,finalement
espère,hope,espérer
l'eau,water,lo
attendez,Wait,attan
parti,left,in aller
nouvelle,news,information
boulot,job,travail
arrêter,Stop,arrêter
dirait,would say, ti pou dire
terre,Earth,terre
compte,account,compte
donne,given,p donne
loin,far,loin
fin,end,fin
croire,believe,croire
chérie,sweetheart,chéri
gros,large,gro
plutôt,rather,plito
aura,will have,pou ena
filles,girls,tifi
jouer,to play,zouer
bureau,office,biro